game_id,club_id,hosting,opponent_goals,own_goals
23204501,1468.0,Home,2.0,0.0
23204541,222.0,Home,2.0,0.0
23204601,1.0,Home,1.0,3.0
23204721,2036.0,Home,5.0,4.0
23210271,33.0,Home,3.0,3.0
23210331,23.0,Home,1.0,0.0
23210441,16.0,Home,1.0,2.0
23210601,23.0,Home,2.0,0.0
23210631,33.0,Home,0.0,2.0
23210721,16.0,Home,2.0,6.0
23210791,23.0,Home,1.0,1.0
23210861,4.0,Home,1.0,1.0
23211191,15.0,Home,1.0,1.0
23211521,44.0,Home,2.0,0.0
23212051,41.0,Home,3.0,2.0
23212331,41.0,Home,3.0,0.0
23213071,16.0,Home,1.0,2.0
23213191,15.0,Home,1.0,2.0
23213301,167.0,Home,0.0,0.0
23213351,33.0,Home,1.0,0.0
23219761,10604.0,Home,4.0,1.0
23219901,1257.0,Home,0.0,2.0
23220191,11107.0,Home,1.0,2.0
23220231,282.0,Home,0.0,1.0
23220351,3811.0,Home,6.0,4.0
23232631,10734.0,Home,3.0,1.0
23232661,6055.0,Home,2.0,0.0
23232781,255.0,Home,0.0,1.0
23237301,121.0,Home,2.0,2.0
23237311,16704.0,Home,2.0,1.0
23237411,3691.0,Home,2.0,1.0
23284901,4807.0,Home,1.0,1.0
23296781,3508.0,Home,0.0,1.0
23297821,1411.0,Home,1.0,1.0
23297871,2282.0,Home,2.0,1.0
23297921,28643.0,Home,1.0,4.0
23297981,204.0,Home,1.0,1.0
23308741,618.0,Home,2.0,2.0
23308801,14171.0,Home,2.0,1.0
23309161,1423.0,Home,1.0,0.0
23309801,1421.0,Home,1.0,4.0
23309921,415.0,Home,0.0,0.0
23310061,855.0,Home,1.0,1.0
23310181,273.0,Home,0.0,0.0
23310341,1147.0,Home,1.0,3.0
23310821,855.0,Home,1.0,0.0
23310941,244.0,Home,1.0,0.0
23311011,40.0,Home,2.0,1.0
23311071,750.0,Home,1.0,1.0
23311101,417.0,Home,1.0,0.0
23311231,1423.0,Home,6.0,2.0
